SOC,Project Name,Customer
ZCS24-078,Linde Roc - Veeam Renewal - 1 Year (10/11/2024 - 9/11/2025),Linde Roc Sdn Bhd
ZCS24-117,Linde Roc - Vmware Horizon Renewal - 1 Year (29/1/2025 - 28/1/2026),Linde Roc Sdn Bhd
ZCS24-143,Lth - Microsoft Support Service Provider - 3 Years (10/3/2025 - 9/3/2028),Lembaga Tabung Haji
ZCS22-073,Lth - Server Virtualization Infrastructure Project (5 Years) 1/11/22 - 31/10/27,Lembaga Tabung Haji
ZCS25-066,Lth - Th Backup Infrastructure Technology Refresh Provider - 5 Years (1/10/2025 - 30/9/2030),Lembaga Tabung Haji
ZCS25-124,Lth - Th Veeam Backup Maintenance & Support,Lembaga Tabung Haji
ZCS25-088,Lzs - Lesen Windows Server Operation System,Lembaga Zakat Selangor
ZCS24-020,Lzs - Manageengine Appcreator License,Lembaga Zakat Selangor
ZCS25-057,Lzs - New Website For Lzs,Lembaga Zakat Selangor
ZCS24-013,Lzs - Sistem Server Room For Lzs New Building,Lembaga Zakat Selangor
ZCS23-082,Lzs - Supply Hp Workstation (Hp Z2 G9 Tower Workstation Desktop Pc X 1),Lembaga Zakat Selangor
ZCS25-038,Lzs -Manageengine Renewal  (Annual Maintence & Support),Lembaga Zakat Selangor
ZCS23-068,"Mampu - Supply Hardware, Services, Training And Support To Government Digital Forensic Lab (Mydflab)",Unit Pemodenan Tadbiran Dan Perancangan Pengurusan Malaysia (Mampu)
ZCS25-060,Mcmc - Backup Tape Media Collection And Offsite Storage Services Renewal (12/8/2025 - 11/8/2026),Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS23-006,Mcmc - Provisioning Of Development And Implementation Of Pakej Map System,Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS25-026,"Mcmc - Provisioning Of License Renewal, Support And Maintenance For Vmware Infrastructure",Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS24-145,Mcmc - Provisioning Of Support & Maintenance For Technical And Standards System (Tss) - 1 Year,Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS21-087,"Mcmc - Provisioning Of Warranty, Support & Maintenance For Mcmc For State And Branch Servers",Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS25-027,Mcmc - Renewal Of Managed Servers And Storage Support And Maintenance - 1 Year (1/7/2025 - 30/6/2026),Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS22-083,Mcmc - Software Development Service For Technical Standard System (Tss),Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS25-125,Mcmc - Support Maintenance Service For Microsoft 365 (2026),Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS25-127,Mcmc - The Provisioning Of Support & Maintenance For The Pakej Map System,Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
ZCS25-020,Mcmc - Veeam License And Support Renewal -1  Year,Suruhanjaya Komunikasi Dan Multimedia Malaysia (Mcmc)
Meal Allowance,Meal Allowance Claim,Staff
ZCS23-089,Mgsb - Microsoft Active Directory Restructuring In Gcp,Mun Global Sdn Bhd
ZCS25-044,Microsoft 365 Business Basic License 2/7/25-13/10/25,Public Cargo Services Sdn Bhd
ZCS24-096,Mof - Development Of Myprocurement Portal,Kementerian Kewangan Malaysia (Mof)
ZCS25-081,"Mosti - Penyelenggaraan Komprehensif Perkakasan, Perisian Dan Pusat Data Mosti - 2 Year (1/11/2025 - 31/10/2027)","Kementerian Sains, Teknologi Dan Inovasi (Mosti)"
ZCS25-068,Motac - Penambahbaikan Sistem Perlesenan Dan Penguatkuasaan Pelancongan,"Kementerian Pelancongan, Seni Dan Budaya (Motac)"
ZCS24-108,Mtja - Docusign,Malaysia-Thailand Joint Authority (Mtja)
ZCS25-116,Mtja - Docusign Renewal Year 2026,Malaysia-Thailand Joint Authority (Mtja)
ZCS23-062,Mtja - Microsoft Sql Server License Subscription,Malaysia-Thailand Joint Authority (Mtja)
ZCS24-104,Mtja - Team Viewer License Renewal,Malaysia-Thailand Joint Authority (Mtja)
ZCS25-102,Mtja - Teamviewer Licenses,Malaysia-Thailand Joint Authority (Mtja)
ZCS25-114,Mtja - Web Hosting Renewal (4/12/2025 - 3/12/2026),Malaysia-Thailand Joint Authority (Mtja)
ZCS23-155,Ncia - Laptop Leasing & Microsoft 365 License Subscription - 2 Years (1/4/2024 - 31/3/2026),Northern Corridor Implementation Authority (Ncia)
